"dzien","Ilosc zwierzakow","Ilosc roslinek","Srednia energia","Sredni czas zycia","Ilosc wolnych pol","Najpopularniejszy gen"
"585","238","105","44","45.29426982991182","1115","077171325773147"
"586","237","109","43","45.319901135115785","1121","077171325773147"
"587","241","110","43","45.34521406322833","1112","077171325773147"
"588","236","111","43","45.37013981297552","1106","077171325773147"
"589","237","105","43","45.39643851065035","1121","077171325773147"
"590","241","106","43","45.42241199372044","1123","077171325773147"
"591","241","105","43","45.447542379021016","1116","077171325773147"
"592","241","99","43","45.471307364940394","1124","077171325773147"
"593","243","107","42","45.494707611302886","1118","077171325773147"
"594","243","105","42","45.51712442761183","1121","077171325773147"
"595","243","107","42","45.53893177737925","1121","077171325773147"
"596","242","100","42","45.561701136659245","1125","077171325773147"
"597","242","102","42","45.58515439960717","1125","077171325773147"
"598","242","99","42","45.608122932032856","1129","077171325773147"
"599","240","104","42","45.62896350416973","1126","077171325773147"
"600","237","105","43","45.650303261729064","1121","077171325773147"
"601","237","109","42","45.67300568916974","1123","077171325773147"
"602","236","116","42","45.69642651857528","1107","077171325773147"
"603","232","115","43","45.720294037187486","1110","077171325773147"
"604","229","116","43","45.74710042183731","1111","077171325773147"
"605","229","116","43","45.774731938829746","1126","077171325773147"
"606","229","113","44","45.80285766913181","1127","077171325773147"
"607","231","115","43","45.829242458726945","1131","077171325773147"
"608","230","113","43","45.853986668880204","1118","077171325773147"
"609","231","116","43","45.879685088798055","1109","077171325773147"
"610","231","116","43","45.9043243713569","1113","077171325773147"
"611","227","117","44","45.929958927067744","1114","077171325773147"
"612","226","120","44","45.95679793392769","1116","077171325773147"
"613","227","126","43","45.98432715761109","1099","077171325773147"
"614","228","124","43","46.01266391001501","1109","077171325773147"
"615","223","127","44","46.03965744514081","1109","077171325773147"
"616","223","130","43","46.0672617204971","1107","077171325773147"
"617","224","135","43","46.0949577307647","1108","077171325773147"
"618","225","133","43","46.12308654348631","1106","077171325773147"
"619","223","137","43","46.15169624841873","1106","077171325773147"
"620","226","136","42","46.18109517267315","1110","077171325773147"
"621","220","133","44","46.21036001124278","1096","077171325773147"
"622","220","134","44","46.241743388335316","1103","077171325773147"
"623","227","138","42","46.27368840844144","1101","077171325773147"
"624","222","136","43","46.304310636856776","1095","077171325773147"
"625","220","132","44","46.336494733817254","1099","077171325773147"
"626","215","132","45","46.36993132076786","1103","077171325773147"
"627","213","132","46","46.404482174891136","1112","077171325773147"
"628","216","133","45","46.43967213114795","1109","077171325773147"
"629","213","133","46","46.47483342564195","1120","077171325773147"
"630","211","135","46","46.51068445874105","1116","077171325773147"
"631","210","134","46","46.54460239150471","1105","077171325773147"
"632","208","132","47","46.57966611018404","1113","077171325773147"
"633","215","133","45","46.61507566162296","1113","077171325773147"
"634","213","134","46","46.649185264051376","1103","077171325773147"
"635","217","133","45","46.68318442990508","1111","077171325773147"
"636","220","131","45","46.71225746562496","1099","077171325773147"
"637","222","131","44","46.741141528712355","1102","077171325773147"
"638","225","131","44","46.76899954581154","1103","077171325773147"
"639","229","123","43","46.795763270689484","1115","077171325773147"
"640","238","131","41","46.82133131494334","1089","077171325773147"
"641","248","128","40","46.84500808789155","1106","077171325773147"
"642","254","126","39","46.86555496374031","1092","077171325773147"
"643","251","123","39","46.88473206911536","1088","077171325773147"
"644","249","118","40","46.90539415701035","1096","077171325773147"
"645","249","115","40","46.92729804787113","1097","077171325773147"
"646","250","121","39","46.9500804629468","1102","077171325773147"
"647","252","121","39","46.972592628642275","1094","077171325773147"
"648","251","122","39","46.995523717015125","1095","077171325773147"
"649","250","121","39","47.01895129694444","1094","077171325773147"
"650","247","122","39","47.04302609621052","1098","077171325773147"
"651","249","127","38","47.06839759268834","1096","077171325773147"
"652","248","128","38","47.09214129134352","1091","077171325773147"
"653","245","131","39","47.116512401330674","1084","077171325773147"
"654","246","137","38","47.142637766936325","1078","077171325773147"
"655","243","135","39","47.16889108847703","1078","077171325773147"
"656","242","133","39","47.194918697568085","1083","077171325773147"
"657","236","131","40","47.2211178346232","1104","077171325773147"
"658","232","131","41","47.24760907005761","1108","077171325773147"
"659","231","134","40","47.27456448201323","1095","077171325773147"
"660","226","140","41","47.30180294164201","1091","077171325773147"
"661","221","139","42","47.33117313673215","1093","077171325773147"
"662","220","143","42","47.362391357451116","1093","077171325773147"
"663","221","145","42","47.39359852745718","1095","077171325773147"
"664","213","141","44","47.42433332286372","1100","077171325773147"
"665","211","142","44","47.45408079271916","1108","077171325773147"
"666","212","143","44","47.4813887236644","1097","077171325773147"
"667","209","143","44","47.508797974747225","1099","677171325773147"
"668","209","143","45","47.53612911781492","1100","677171325773147"
"669","213","142","44","47.564337004096885","1103","677171325773147"
